objid,ra,dec,size,color
1237673708786287372,121.22425891099,-9.05815295509094,5.868986,1.038933
1237665427552600455,194.044298264607,28.7063693665575,5.730117,0.4046707
1237654187634655519,173.722894335995,-0.951046151882428,7.360081,5.402533
1237667725360365708,82.8798579945151,8.5184519010731,7.358163,1.358356
1237672131997600934,276.616947725007,13.9073988951832,5.820403,0.8519726
1237679433441149056,351.804887731314,-3.53890395866764,11.30762,1.316378
1237679433441149058,351.804104276191,-3.56229642544784,68.31472,1.38563
1237679433441149065,351.764018881531,-3.53537930430187,166.5399,0.7094421
1237679433441149071,351.807829336596,-3.56789778250479,68.31472,0.8212852
1237679433441149074,351.803043568433,-3.55526959140475,7.360061,1.670284
1237654187634720905,173.804561862701,-0.954288170872029,7.35903,1.69248
1237654187634720907,173.805671261831,-0.944494889445959,7.35903,0.6839199
1237654187634720911,173.81083602205,-1.11898674084342,7.35903,0.8947201
1237654187634720915,173.813466485313,-0.977330578286185,5.856277,0.7652836
1237654187634720916,173.81506042877,-0.945701679358281,9.622555,1.082012
1237654187634720917,173.825020366105,-1.03617281635993,7.35903,0.8487396
1237654187634720919,173.83587765367,-1.01900709954089,7.320567,0.8115711
1237650004325040929,326.555437395114,-1.20203388634096,7.359641,1.015566
1237661957219025623,194.32300760349,50.8631138150551,7.36001,1.283163
1237654866228412506,118.720118017061,-1.85828151912608,10.44658,7.425594
1237650004325105711,326.70334143447,-1.09038665219815,6.455564,0.5895061
1237668647170278360,176.893222899814,20.7568539877717,7.358729,2.021954
1237680263996375765,350.954367371733,-6.9856449430866,43.76887,1.698534
1237680263996375768,350.966151289284,-6.87328538802608,11.30608,0.08504868
1237666209237107727,250.455540323595,28.5007925380554,7.361126,1.994118
1237664972286263449,233.566509801189,23.9223771588319,9.993825,1.114428
1237663480321672806,308.523782437115,0.912245049574091,18.01661,1.303593
1237679433441214733,352.023100194321,-3.51853231128368,11.60931,0.5792027
1237661957219090700,194.698527805938,51.0298092841256,7.360302,0.9930458
1237666300525281721,341.046712920955,-0.00131677125507899,7.357898,0.3469982
1237650004325106220,326.688943365545,-1.1723315378508,5.907918,1.102169
1237664972286263663,233.605013940896,23.8887177786688,5.29123,0.8692837
1237664972286263679,233.569793631164,23.7958613956957,11.3072,0.2090874
1237661957219091241,194.696294970834,51.0231728997889,7.360302,1.091925
1237661957219091243,194.671650982591,50.8893351133798,7.360302,1.277796
1237668647170343565,176.982451666473,20.8290809186778,7.359027,0.9686909
1237667725360562209,82.7664525315778,8.05940802823537,22.1008,13.46065
1237667725360562210,82.7724493930679,8.06175453157698,43.76006,11.13169
1237669516361466746,344.71817888888,5.79764295455049,7.358845,0.9859581
1237680263996441257,351.136394135168,-7.05880299203581,11.30694,1.065863
1237680263996441258,351.140581399631,-6.96821906428221,11.30694,0.9830685
1237680263996441259,351.139040392625,-7.05784531036902,18.02039,1.101942
1237646798131823241,108.085915945872,0.946092917799958,7.357468,0.8347893
1237668330951082537,212.833985094223,14.6477582405611,11.30428,2.004213
1237657584942842012,23.3182478464235,-1.02676914196674,7.358663,0.3547382
1237657584942842028,23.3714916554572,-0.964754668398283,7.358663,0.4686337
1237664972286329022,233.734627465087,23.783031556593,5.947414,1.074291
1237645876861665630,337.371303256603,-0.843713215520807,7.048133,0.5154324
1237645876861665633,337.369715503737,-0.886694322623312,7.356823,1.073418
1237645876861665646,337.376832665435,-0.963900955506545,7.356823,0.954258
1237663228530131142,248.620313014454,76.029727956362,18.48815,0.8920908
1237664972285870110,232.693956050854,24.2860598873333,7.359538,1.814907
