id,rowOrder,objid,ra,dec,size,color
Table321,320,1237658222745288749,82.72593,0.7243281,0.2092169,0.9242611
Table322,321,1237654866228281421,118.4176,-2.046426,27.92255,-0.5025539
Table323,322,1237654866228281422,118.4214,-2.047441,1.880787,1.521315
Table324,323,1237646798131757221,107.9122,0.8739299,2.96214,0.7413654
Table325,324,1237673708786221088,121.0004,-9.214005,2.970314,1.491817
Table326,325,1237673708786221093,120.9757,-9.166836,1.897417,0.4677544
Table327,326,1237666492704293040,327.5896,-0.8472005,4.270235,1.077995
Table328,327,1237666492704293044,327.5906,-0.8687887,2.125672,1.973959
Table329,328,1237666492704293058,327.6033,-0.897342,3.109426,1.039581
Table330,329,1237660750333018192,66.34772,22.70467,2.970274,0.801136
Table331,330,1237660750333018196,66.22972,22.70844,2.970274,2.147148
Table332,331,1237663480321605692,308.318,0.8446615,2.317276,1.103348
Table333,332,1237663480321605703,308.3197,0.9593212,4.889211,0.6874638
Table334,333,1237665427552403481,193.485,28.74329,7.166712,1.770611
Table335,334,1237665427552403482,193.4821,28.74433,2.576162,1.988428
Table336,335,1237665427552403483,193.4855,28.73949,1.447704,1.646231
Table337,336,1237665427552403485,193.4832,28.74486,1.18732,1.386391
Table338,337,1237665427552403496,193.512,28.85702,2.406372,0.6017246
Table339,338,1237665427552403498,193.514,28.85152,2.700506,1.205097
Table340,339,1237665427552403500,193.5148,28.8504,1.336294,1.743698
Table341,340,1237666300525019265,340.4337,-0.1230114,2.969528,0.2957954
Table342,341,1237666300525019278,340.4678,-0.1744876,1.95087,0.3041286
Table343,342,1237654866228281403,118.418,-1.867882,2.247067,2.728279
Table344,343,1237654866228281404,118.4191,-1.862158,1.944474,1.114611
Table345,344,1237666300525019186,340.4763,-0.1653533,1.4069,1.919022
Table346,345,1237666300525019202,340.5142,-0.1363174,1.025031,0.6960297
Table347,346,1237663889954111594,20.37424,-1.142074,2.886044,8.480175
Table348,347,1237663889954111595,20.37482,-1.141915,2.741059,1.289038
Table349,348,1237663889954111597,20.37796,-1.14375,2.969953,0.262413
Table350,349,1237663889954111605,20.25562,-1.056865,1.909588,0.6772003
Table351,350,1237650004324843672,326.1268,-1.257222,1.834218,1.337576
Table352,351,1237650004324843682,326.1349,-1.165554,16.07007,1.035383
Table353,352,1237650004324843686,326.1414,-1.163081,2.156898,2.522007
Table354,353,1237650004324843689,326.1388,-1.161756,1.888731,1.796207
Table355,354,1237661351628439603,164.5854,54.54105,2.045259,0.7121811
Table356,355,1237661351628439604,164.5901,54.54316,1.795783,0.2696266
Table357,356,1237661351628439619,164.6183,54.63057,2.975383,1.117292
Table358,357,1237661351628439620,164.6231,54.62069,13.17999,-0.1099014
Table359,358,1237661351628439621,164.6279,54.61941,2.96993,2.589041
Table360,359,1237661351628439622,164.6405,54.61843,1.757895,1.005322
Table361,360,1237660750333018292,66.32236,22.78183,20.09203,1.52745
Table362,361,1237660750333018293,66.31644,22.78185,1.091834,4.07024
Table363,362,1237660750333018294,66.31381,22.78189,1.088627,4.142624
Table364,363,1237660750333018298,66.31529,22.7808,2.970274,0.3123531
Table365,364,1237660750333018300,66.31907,22.77692,2.737789,2.326639
Table366,365,1237660750333018302,66.31647,22.77841,2.970274,0.8714237
Table367,366,1237660750333018303,66.31394,22.78268,1.008202,2.183464
Table368,367,1237660750333018304,66.31522,22.78659,2.970274,0.1534786
Table369,368,1237660750333018305,66.31831,22.77601,2.970274,9.136036
