z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31
1.2851505,-0.6072816,3.952756,-1.4606711,-0.37714314,-5.4110246,1.2577379,1.4116912,2.32919,3.1196575,0.0040179426,1.287685,2.2970352,-1.6905614,3.2196398,-2.5078902,-1.6442668,-2.188705,1.1323636,-3.8248591,0.5604364,3.3116167,3.610459,-0.20004064,0.8125344,3.2572427,1.7261578,-2.938321,3.3849163,-1.9283458,-2.4518414,1.884407
1.6830148,-2.498901,-5.3306713,1.9346395,-1.8787696,2.5849044,-2.7429585,0.23684835,-0.6216811,-4.0510345,1.0947957,-3.273981,-0.84858245,2.2693348,-0.64566714,3.051908,5.266486,0.6101134,-4.286651,3.863472,1.6877962,-2.1124732,1.2992158,-0.9858513,-0.2976354,-3.130919,-1.534502,-4.4191446,-0.374736,-1.5758922,-0.6408996,1.0948994
9.890462,-4.033153,-12.896715,0.9348529,-7.1284523,-1.4297961,-7.8812575,-7.0237594,-0.9294157,-14.994711,-0.9121082,-6.364016,2.4060664,-3.9504817,-0.02387786,9.022312,4.6454763,4.6656146,-0.033127785,8.279787,6.985047,5.7063336,1.2268316,-0.75604206,0.3075906,-14.37212,-0.043821245,1.2412909,9.432695,-3.2513545,1.4487853,-1.0407221
1.8517036,2.083559,-0.11397743,-3.0515566,-2.6751158,-4.4458013,1.8883938,-0.3062706,0.8907566,1.7601411,-4.691717,1.3970556,3.1926994,-3.4745848,0.4218759,-4.5557017,-5.064968,-2.056688,5.326103,0.34794736,-2.6328282,2.6732259,-0.36984912,0.50530225,7.825179,1.0623384,4.6341114,3.104827,-0.51497895,-0.70726335,-4.522832,-2.0474315
1.7767229,-1.6892917,-3.391355,2.0055265,-1.9641892,-2.9491262,0.3023218,2.3231578,3.1029437,1.6095792,-0.7939386,-2.5287447,-1.8988645,2.081442,4.1158643,-3.3830135,3.519507,0.05122195,-1.3205293,2.2706118,2.8152401,-1.6149136,4.0328245,-1.4057783,0.8532361,2.9863503,-0.80411,-2.7764416,0.39306688,2.6096828,-3.1432576,0.79239714
1.6258416,-5.6163225,-4.732877,4.143812,-0.7283083,6.170101,-3.191264,2.9849758,-1.2747881,-3.4594615,-0.8093201,-0.50918806,0.8066895,3.3900197,-4.0476446,3.5661209,1.5635066,0.75934744,-3.194704,6.6873417,-3.234766,-1.6885693,0.31915858,2.2435102,0.9942051,-1.7121687,-2.9460676,-2.9771762,3.7302194,-3.4074016,1.0364482,-1.761606
0.7664265,-0.14056182,3.8107414,-2.4361446,1.3565779,-3.2549634,0.8478879,0.939654,0.79519004,3.7770953,-1.8293769,2.3900886,4.0551853,-1.5634515,0.67922544,-2.3837695,-2.899436,-3.1892684,2.91994,-1.7276654,-2.1295755,3.1042752,2.844517,0.39857963,3.4008894,4.6283846,1.2990811,-0.008207083,1.4458107,-1.4901628,-3.057293,-0.5083485
-2.9642472,-1.5048845,3.5494561,-2.4708962,1.1098365,-2.0443394,0.05771172,-1.0997767,0.9262552,0.54121965,0.28534344,3.2332954,2.8807669,-4.6800137,1.0479516,1.3559723,-5.6807575,0.63211775,5.311128,-1.0551159,0.24011123,3.855547,-0.31090572,-2.1364245,5.5840187,-0.53271073,6.304347,3.3794084,2.074728,-6.432414,-0.6259695,-2.2197418
1.5666411,-2.249767,-3.118274,0.69632745,0.50828016,0.4384939,0.475085,1.8369212,1.0381043,0.30633038,-0.7924466,-2.1520724,-1.1004155,0.25301665,2.60013,0.16633868,5.3360186,1.2897882,-0.81605744,4.506492,2.434093,-2.3439672,2.700412,-1.4320883,1.5877287,1.5467614,-2.0615048,0.11700554,-2.39183,1.0766181,-1.4599025,-0.73093987
0.7833527,-2.5972028,-1.9005995,1.656192,0.5477406,-1.3080443,-0.6122213,2.9598784,1.9787879,1.3711904,1.1577655,-1.1582077,-1.3328841,2.5928466,3.6427693,-0.8908855,5.6143103,-0.3943582,-3.1939175,2.7826767,1.9566249,-2.953572,4.6294622,-1.3483742,-0.96961343,3.6416497,-2.4459639,-4.6417418,0.34927687,0.96097004,-2.6203077,1.2575125
2.1238284,0.13448864,-2.3296456,0.8722444,-1.3764607,-4.130685,0.90482247,2.5078,2.0947726,2.893495,-1.2612019,-2.7847786,-0.66078544,1.2950838,3.6652484,-2.4457412,4.8752065,-0.46171364,-0.31978226,1.4374533,1.8333445,-1.0963352,3.3374832,-0.77031,1.0230764,5.298997,-1.5657296,-1.9430561,-2.2596815,3.2843256,-3.3035223,0.4175429
1.4202524,-0.040092997,-7.8428545,-1.2832998,-4.7011895,0.9688918,-0.37422797,0.7920265,0.5186713,-2.5816383,-6.9112425,-2.0718684,2.2327194,-0.6327723,-3.6819267,-0.9283104,-0.5637764,0.8875041,4.8096647,9.687475,-4.8387947,-0.8128083,-4.436795,0.29306293,8.658818,-3.2491093,3.0702286,6.7462945,-2.001854,-0.51053166,-4.542664,-6.837412
-0.33836967,-1.2179358,-0.93669856,-0.059818268,0.52703226,-5.6294756,2.868244,0.9244161,4.077742,1.579911,-0.3192973,-1.4902563,-0.6177903,-2.890729,4.642615,-3.501069,0.351268,0.93529034,3.9114242,0.902634,3.5267303,0.7548182,3.1205015,-2.5873537,3.570651,2.058082,2.8315854,2.259522,-0.17222708,0.962011,-2.2247717,-0.7806262
0.9409276,-3.461392,-4.0657454,2.95552,-0.16663529,1.9099109,-2.8174791,3.2402976,1.1320041,-1.0120351,1.7241426,-0.70474166,-1.3830719,4.7411876,2.0026724,-0.24806201,4.719851,0.7173547,-5.7723093,3.5116286,0.9669519,-4.360081,3.8523636,-0.6892265,-1.2119657,1.4046237,-2.821772,-6.8743267,2.0584064,-1.1201165,-2.0343227,1.9194621
10.0768795,-3.685143,-6.3698883,0.26175845,-1.4313564,-3.8864834,-3.3192163,-2.4295566,1.2597306,-10.284388,-0.10260866,-4.1724486,-0.7536987,-7.158124,8.640724,6.4472075,7.573431,6.0489945,0.3012154,4.5857863,11.215496,3.9511185,5.879002,-2.478018,3.933634,-7.115938,-1.3889002,3.3313541,5.9432216,-1.8939848,1.0953609,0.18562222
-0.06952733,-1.5107667,-5.3895607,-0.31320333,-2.2196877,-2.9174986,-0.03785479,-1.957447,3.3946676,-2.8978767,-1.1267154,-4.1266794,-0.032468915,-3.3680453,4.4717827,0.19473183,1.8840673,3.7837677,4.1965694,5.306836,5.433117,-0.89529806,0.6995169,-5.1731396,6.4651275,-4.5542145,3.8986301,4.6310673,-2.289764,-0.10295675,-1.9239821,-2.9835372
